Date,Price,Type,Index,Diff_Percent
2020-03-13 02:49:00,124.99,High,1700167,5.923728813559315
2020-03-13 02:55:00,112.56,Low,1700173,-9.944795583646682
2020-03-13 03:31:00,148.0,High,1700209,31.485429992892676
2020-03-13 03:32:00,132.75,Low,1700210,-10.304054054054056
2020-03-13 03:39:00,144.8,High,1700217,9.077212806026381
2020-03-13 03:50:00,122.61,Low,1700228,-15.324585635359123
2020-03-13 03:54:00,133.0,High,1700232,8.474023325992984
2020-03-13 04:57:00,106.43,Low,1700295,-19.97744360902255
2020-03-13 05:07:00,124.0,High,1700305,16.50850324156723
2020-03-13 05:13:00,116.84,Low,1700311,-5.774193548387096
2020-03-13 05:22:00,123.42,High,1700320,5.631633002396441
2020-03-13 05:58:00,114.0,Low,1700356,-7.632474477394268
2020-03-13 06:58:00,127.93,High,1700416,12.219298245614052
2020-03-13 07:36:00,120.83,Low,1700454,-5.549910107089817
2020-03-13 08:05:00,133.1,High,1700483,10.15476289001076
2020-03-13 08:37:00,121.94,Low,1700515,-8.384673178061608
2020-03-13 09:56:00,136.53,High,1700594,11.964900770870912
2020-03-13 11:07:00,126.01,Low,1700665,-7.705266241851605
2020-03-13 13:35:00,140.95,High,1700813,11.85620188873897
2020-03-13 15:45:00,116.06,Low,1700943,-17.65874423554451
2020-03-13 15:55:00,128.37,High,1700953,10.606582801998975
2020-03-13 16:03:00,120.17,Low,1700961,-6.387785308093797
2020-03-13 16:42:00,129.51,High,1701000,7.772322543063992
2020-03-13 18:49:00,115.5,Low,1701127,-10.817697475098441
2020-03-13 19:16:00,123.8,High,1701154,7.186147186147185
2020-03-13 19:34:00,117.1,Low,1701172,-5.411954765751215
2020-03-13 23:34:00,138.9,High,1701412,18.616567036720767
2020-03-15 03:02:00,119.84,Low,1703060,-13.722102231821454
2020-03-15 12:16:00,129.33,High,1703614,7.9188918558077415
2020-03-15 21:00:00,119.85,Low,1704138,-7.330085826954313
2020-03-15 21:58:00,134.1,High,1704196,11.889862327909896
2020-03-16 07:36:00,105.51,Low,1704774,-21.319910514541384
2020-03-16 08:52:00,111.58,High,1704850,5.753009193441372
2020-03-16 10:59:00,100.5,Low,1704977,-9.930094999103778
2020-03-16 12:10:00,110.28,High,1705048,9.731343283582095
2020-03-16 13:30:00,102.23,Low,1705128,-7.299601015596657
2020-03-16 15:25:00,116.72,High,1705243,14.173921549447321
2020-03-16 23:08:00,107.14,Low,1705706,-8.207676490747085
2020-03-17 01:31:00,121.49,High,1705849,13.39369049841328
2020-03-17 02:18:00,114.01,Low,1705896,-6.156885340357221
2020-03-17 07:28:00,120.5,High,1706206,5.692483115516178
2020-03-17 13:55:00,112.76,Low,1706593,-6.423236514522812
2020-03-17 21:08:00,120.59,High,1707026,6.943951755941824
2020-03-18 13:21:00,110.18,Low,1707999,-8.632556596732732
2020-03-19 16:28:00,141.68,High,1709625,28.58958068614994
2020-03-19 16:45:00,133.35,Low,1709642,-5.8794466403162104
2020-03-19 22:51:00,144.44,High,1710008,8.316460442444695
2020-03-20 04:04:00,133.89,Low,1710321,-7.304070894489067
2020-03-20 10:47:00,154.0,High,1710724,15.019792366868344
2020-03-20 13:24:00,136.93,Low,1710881,-11.084415584415574
2020-03-20 14:28:00,145.5,High,1710945,6.258672314321179
2020-03-20 20:31:00,115.51,Low,1711308,-20.611683848797245
2020-03-20 22:06:00,137.65,High,1711403,19.16717167344819
2020-03-20 22:37:00,127.57,Low,1711434,-7.322920450417736
2020-03-21 02:12:00,137.62,High,1711649,7.878027749470884
2020-03-21 11:23:00,125.84,Low,1712200,-8.559802354308966
2020-03-21 21:09:00,137.64,High,1712786,9.376986649713913
2020-03-22 00:11:00,130.65,Low,1712968,-5.07846556233652
2020-03-22 06:07:00,137.38,High,1713324,5.1511672407194675
2020-03-22 20:01:00,121.8,Low,1714156,-11.340806522055614
2020-03-22 21:51:00,129.18,High,1714266,6.0591133004926245
2020-03-23 00:02:00,119.2,Low,1714397,-7.725654126025705
2020-03-23 13:06:00,138.0,High,1715179,15.771812080536908
